word|wordRepr|freq
carnet|carnet|195.909036300297
carreau|carreau|97.8534502501283
carreaux|carreaux|174.883518606173
carrefour|carrefour|193.593482276573
carrière|carriere|374.980741295895
carré|carre|227.6905662750485
carrément|carrement|145.629657052018
carte|carte|863.256439588602
cartes|cartes|545.37770200242
carton|carton|250.628758221783
cas|cas|2735.96718714585
caserne|caserne|109.760727447685
casier|casier|111.598738537696
casino|casino|113.650479378496
casque|casque|190.5973746243741
casquette|casquette|235.818895308624
casse|casse|415.9793129435475
casser|casser|364.677016310502
casserole|casserole|104.802583364861
cassette|cassette|151.958598912496
cassé|casse|426.230445043094
cassée|cassee|155.32765748126042
catastrophe|catastrophe|206.448963017026
catholique|catholique|223.3111413204549
catholiques|catholiques|103.2441671645434
cathédrale|cathedrale|120.47072882174653
cauchemar|cauchemar|255.296843358032
cause|cause|2369.934209985398
causer|causer|185.464093233477
causes|causes|118.6708055093281
causé|cause|130.355657893731
cavalerie|cavalerie|104.782109236948
cavalier|cavalier|132.4833577007199
cavaliers|cavaliers|132.7873978853506
cave|cave|369.0849276114041
caves|caves|99.25703736056249
ce|ce|73387.07740225829
ceci|ceci|1027.72208350427
ceinture|ceinture|287.3039136233166
cela|cela|6776.001461546759
celle|celle|2417.569481448829
celle-ci|celleci|528.401476955209
celle-là|cellela|446.855809008812
celles|celles|782.28073969563
cellule|cellule|364.584739498223
cellules|cellules|125.67579369193427
celui|celui|3125.35453602103
celui-ci|celuici|646.069704772156
celui-là|celuila|741.941952536457
cendres|cendres|174.131513317854
censé|cense|235.438538197329
cent|cent|1161.870768428198
centaines|centaines|297.7758743871783
centimètres|centimetres|143.658031459231
central|central|217.99206118068278
